class,shLA,elLA,shRA,elRA
Pose 1,23,170,25,175
Pose 2,127,156,25,172
Pose 3,98,160,51,108
Pose 4,26,170,80,134
Pose 5,18,160,144,165
Pose 6,35,173,130,165
