class,shLA,elLA,shRA,elRA
Pose 1,20.2090393,166.6313538,21.73058647,172.9749302
Pose 1,20.17826657,166.5651295,22.03619282,173.3224507
Pose 1,20.1812156,166.560361,22.17090859,173.2883321
Pose 1,20.21192604,166.4852713,22.2351663,173.1957947
Pose 1,20.16376147,166.3478968,22.39951929,172.3803778
Pose 1,20.20354114,166.3504238,22.56963022,171.9526949
Pose 1,20.20509363,166.2764864,22.78749274,171.7779686
Pose 1,20.1926519,166.1999292,22.87730937,171.4282928
Pose 1,20.18124953,166.1712944,23.01242777,171.3740035
Pose 1,20.16865512,166.1451631,23.10376195,171.2808748
Pose 1,19.99264143,165.540594,23.15592821,170.8702612
Pose 1,19.81848069,164.9392191,23.19125111,170.6414981
Pose 1,19.74379852,164.6714449,23.28349908,170.7642496
Pose 1,19.68726139,164.3569503,23.42620776,171.0030776
Pose 1,19.60159109,164.0991955,23.50059364,171.0274971
Pose 1,19.5787448,163.9060754,23.494785,170.9760657
Pose 1,19.62780487,163.6782211,23.72764255,171.3100812
Pose 1,19.66099907,163.5146458,23.91986787,171.4397502
Pose 1,19.54610161,163.1439738,24.0060731,171.4269727
Pose 1,19.48067461,162.8799885,24.11791368,171.4984147
Pose 1,19.49101268,162.715478,24.2748549,171.3146837
Pose 1,19.36590467,162.3022961,24.354207,171.3388079
Pose 1,19.27908689,161.8347694,24.41670636,171.5142945
Pose 1,19.28541984,161.6811392,24.49476195,171.6360934
Pose 1,19.27878283,161.5845386,24.73197465,171.6924995
Pose 1,19.26982345,161.5570215,24.92637982,171.8985367
Pose 1,19.26169593,161.4808014,25.08988627,172.0718727
Pose 1,19.28387667,161.224733,25.11351193,172.1043802
Pose 1,19.22731849,160.9219641,25.16528345,172.1232972
Pose 1,19.20138811,160.7652828,25.17971731,172.0978392
Pose 1,19.16885248,160.6312122,25.19945041,172.1575266
Pose 1,19.11813659,160.4820699,25.26302737,172.1852
Pose 1,19.03986542,160.3763474,25.2717359,172.1201528
Pose 1,19.02247887,160.3293219,25.33870162,171.779758
Pose 1,18.92418982,160.2531995,25.40331494,171.8651335
Pose 1,18.91265923,160.4127504,25.40760743,171.8195486
Pose 1,18.9615606,160.4528049,25.3857287,171.7323773
Pose 1,19.01250177,160.549817,25.31276208,171.6506045
Pose 1,19.04936251,160.5819148,25.24493434,171.5013975
Pose 1,19.07427912,160.5516609,25.18467098,171.3717606
Pose 1,19.0904795,160.5628618,25.17647701,171.3399541
Pose 1,19.15211447,160.7530969,25.18017371,171.3676568
Pose 1,19.15970921,160.8801053,25.20242292,171.4980038
Pose 1,19.23936283,161.2137427,25.15771973,171.649473
Pose 1,19.34475663,161.479745,25.19437007,171.7587947
